id,transaction,item
0,1,11
1,2,75
2,2,75
3,3,48
4,3,49
5,3,26
6,4,60
7,5,23
8,5,66
9,5,11
10,6,55
11,6,66
12,6,60
13,7,55
14,7,66
15,7,23
16,7,84
17,8,66
18,8,11
19,9,11
20,9,60
21,10,75
22,10,55
23,11,11
24,11,55
25,11,11
26,11,62
27,12,49
28,12,23
29,12,83
30,12,66
31,12,84
32,13,9
33,13,11
34,13,23
35,14,11
36,14,55
37,14,66
38,15,62
39,15,62
40,15,57
41,15,75
42,16,11
43,16,55
44,16,23
45,17,48
46,18,37
47,19,37
48,19,11
49,20,11
50,20,55
51,21,23
52,21,23
53,21,55
54,21,11
55,22,49
56,23,75
57,23,60
58,24,11
59,25,75
60,26,40
61,27,75
62,28,23
63,28,11
64,29,11
65,29,49
66,29,62
67,30,11
68,31,9
69,32,75
70,32,60
71,33,23
72,34,23
73,34,60
74,35,60
75,35,75
76,36,84
77,36,11
78,37,23
79,37,11
80,37,62
81,38,11
82,38,84
83,39,75
84,40,51
85,40,62
86,40,83
87,40,23
88,40,60
89,41,75
90,42,11
91,42,84
92,43,75
93,43,40
94,44,23
95,44,55
96,45,23
97,45,48
98,45,55
99,46,23
100,47,33
101,47,51
102,47,11
103,47,60
104,47,49
105,48,23
106,49,23
107,49,23
108,49,55
109,50,11
110,50,94
111,51,11
112,52,75
113,54,11
114,55,39
115,55,23
116,55,84
117,55,46
118,56,23
119,56,39
120,57,75
121,58,94
122,58,48
123,58,84
124,58,79
125,59,84
126,59,62
127,60,26
128,60,23
129,60,51
130,60,23
131,61,23
132,62,67
133,62,46
134,62,46
135,62,23
136,62,78
137,62,23
138,63,23
139,64,15
140,65,62
141,65,83
142,65,56
143,65,84
144,65,23
145,66,46
146,66,39
147,66,57
148,67,46
149,67,62
150,67,57
151,67,60
152,68,39
153,68,23
154,68,84
155,68,75
156,68,19
157,69,11
158,69,84
159,69,94
160,70,40
161,71,60
162,72,23
163,72,11
164,73,11
165,74,23
166,74,11
167,75,62
168,75,49
169,75,39
170,76,23
171,77,75
172,78,40
173,79,40
174,79,84
175,79,23
176,79,60
177,80,39
178,80,11
179,80,23
180,81,23
181,81,15
182,82,83
183,82,62
184,82,11
185,83,23
186,83,11
187,84,11
188,85,23
189,85,23
190,85,66
191,85,55
192,86,51
193,87,11
194,88,23
195,88,23
196,88,49
197,89,11
198,90,11
199,90,23
200,91,84
201,91,62
202,92,23
203,93,11
204,93,25
205,94,23
206,94,23
207,95,84
208,95,66
209,95,37
210,96,66
211,96,66
212,96,23
213,96,51
214,97,23
215,97,66
216,97,51
217,98,37
218,99,66
219,99,66
220,99,23
221,99,11
222,100,11
223,101,23
224,101,66
225,102,37
226,103,62
227,103,11
228,104,23
229,104,23
230,104,55
231,104,60
232,104,23
233,105,23
234,105,84
235,105,62
236,105,15
237,106,23
238,106,23
239,106,66
240,106,66
241,107,23
242,107,84
243,108,37
244,108,60
245,109,11
246,109,60
247,109,66
248,110,66
249,111,23
250,112,23
251,113,23
252,113,15
253,114,37
254,115,11
255,116,23
256,117,26
257,117,15
258,117,23
259,117,61
260,118,26
261,118,26
262,118,84
263,118,66
264,119,23
265,119,23
266,119,60
