,dayofweek,month,hour,item_code,counts
0,0,1,8,11,4
1,0,1,8,23,2
2,0,1,8,66,1
3,0,1,8,76,1
4,0,1,9,1,1
5,0,1,9,11,13
6,0,1,9,23,8
7,0,1,9,48,2
8,0,1,9,51,1
9,0,1,9,62,3
10,0,1,9,66,2
11,0,1,9,74,1
12,0,1,9,84,2
13,0,1,9,88,1
14,0,1,10,11,7
15,0,1,10,15,1
16,0,1,10,23,15
17,0,1,10,26,5
18,0,1,10,48,3
19,0,1,10,51,1
20,0,1,10,55,2
21,0,1,10,60,2
22,0,1,10,66,1
23,0,1,10,75,1
24,0,1,10,76,1
25,0,1,10,84,2
26,0,1,10,88,1
27,0,1,11,11,2
28,0,1,11,15,2
29,0,1,11,23,14
30,0,1,11,26,3
31,0,1,11,35,1
32,0,1,11,37,3
33,0,1,11,49,1
34,0,1,11,51,1
35,0,1,11,55,1
36,0,1,11,62,2
37,0,1,11,66,5
38,0,1,11,75,1
39,0,1,11,76,1
40,0,1,11,84,3
41,0,1,11,88,2
42,0,1,12,11,9
43,0,1,12,14,1
44,0,1,12,15,8
45,0,1,12,23,16
46,0,1,12,25,1
47,0,1,12,26,2
48,0,1,12,37,1
49,0,1,12,39,1
50,0,1,12,40,1
51,0,1,12,48,1
52,0,1,12,49,1
53,0,1,12,51,2
54,0,1,12,55,2
55,0,1,12,62,3
56,0,1,12,66,3
57,0,1,12,74,5
58,0,1,12,76,1
59,0,1,12,79,3
60,0,1,12,84,6
61,0,1,12,88,1
62,0,1,13,6,1
63,0,1,13,11,5
64,0,1,13,15,3
65,0,1,13,18,1
66,0,1,13,23,10
67,0,1,13,25,1
68,0,1,13,26,3
69,0,1,13,28,1
70,0,1,13,37,1
71,0,1,13,62,1
72,0,1,13,74,4
73,0,1,13,76,1
74,0,1,13,79,4
75,0,1,13,80,1
76,0,1,13,84,5
77,0,1,13,88,1
78,0,1,14,11,6
79,0,1,14,15,4
80,0,1,14,23,10
81,0,1,14,25,2
82,0,1,14,37,1
83,0,1,14,48,1
84,0,1,14,50,3
85,0,1,14,55,1
86,0,1,14,62,1
87,0,1,14,66,1
88,0,1,14,74,1
89,0,1,14,76,2
90,0,1,14,79,2
91,0,1,14,84,2
92,0,1,14,86,1
93,0,1,15,2,2
94,0,1,15,11,5
95,0,1,15,15,4
96,0,1,15,18,1
97,0,1,15,23,13
98,0,1,15,25,1
99,0,1,15,37,1
100,0,1,15,48,1
101,0,1,15,51,1
