,item_code,item,transaction,datetime,dayofweek,month,hour
0,11,Bread,1,2016-10-30 09:58:11,6,10,9
1,75,Scandinavian,2,2016-10-30 10:05:34,6,10,10
2,75,Scandinavian,2,2016-10-30 10:05:34,6,10,10
3,48,Hot chocolate,3,2016-10-30 10:07:57,6,10,10
4,49,Jam,3,2016-10-30 10:07:57,6,10,10
5,26,Cookies,3,2016-10-30 10:07:57,6,10,10
6,60,Muffin,4,2016-10-30 10:08:41,6,10,10
7,23,Coffee,5,2016-10-30 10:13:03,6,10,10
8,66,Pastry,5,2016-10-30 10:13:03,6,10,10
9,11,Bread,5,2016-10-30 10:13:03,6,10,10
10,55,Medialuna,6,2016-10-30 10:16:55,6,10,10
11,66,Pastry,6,2016-10-30 10:16:55,6,10,10
12,60,Muffin,6,2016-10-30 10:16:55,6,10,10
13,55,Medialuna,7,2016-10-30 10:19:12,6,10,10
14,66,Pastry,7,2016-10-30 10:19:12,6,10,10
15,23,Coffee,7,2016-10-30 10:19:12,6,10,10
16,84,Tea,7,2016-10-30 10:19:12,6,10,10
17,66,Pastry,8,2016-10-30 10:20:51,6,10,10
18,11,Bread,8,2016-10-30 10:20:51,6,10,10
19,11,Bread,9,2016-10-30 10:21:59,6,10,10
20,60,Muffin,9,2016-10-30 10:21:59,6,10,10
21,75,Scandinavian,10,2016-10-30 10:25:58,6,10,10
22,55,Medialuna,10,2016-10-30 10:25:58,6,10,10
23,11,Bread,11,2016-10-30 10:27:21,6,10,10
24,55,Medialuna,11,2016-10-30 10:27:21,6,10,10
25,11,Bread,11,2016-10-30 10:27:21,6,10,10
26,62,NONE,11,2016-10-30 10:27:21,6,10,10
27,49,Jam,12,2016-10-30 10:30:14,6,10,10
28,23,Coffee,12,2016-10-30 10:30:14,6,10,10
29,83,Tartine,12,2016-10-30 10:30:14,6,10,10
30,66,Pastry,12,2016-10-30 10:30:14,6,10,10
31,84,Tea,12,2016-10-30 10:30:14,6,10,10
32,9,Basket,13,2016-10-30 10:31:24,6,10,10
33,11,Bread,13,2016-10-30 10:31:24,6,10,10
34,23,Coffee,13,2016-10-30 10:31:24,6,10,10
35,11,Bread,14,2016-10-30 10:32:46,6,10,10
36,55,Medialuna,14,2016-10-30 10:32:46,6,10,10
37,66,Pastry,14,2016-10-30 10:32:46,6,10,10
38,62,NONE,15,2016-10-30 10:34:36,6,10,10
39,62,NONE,15,2016-10-30 10:34:36,6,10,10
40,57,Mineral water,15,2016-10-30 10:34:36,6,10,10
